population,name,latitude,longitude
535,Ицӏари,41.99698475,47.58399895
313,Шяри,41.95703708,47.60871727
160,Чӏягьри,42.00702128,47.62307313
128,Синхъри,42.01223232,47.63769446
104,Гьинхъи,41.98875845,47.66474557
87,Циберкко,42.00204135,47.66674274
341,Тӏилми,42.01303178,47.67124201
91,Мисригъи,42.00966623,47.69565342
428,Адагъа,42.00856254,47.71135238
103,Уршигьа,42.01558442,47.70219272
279,Явдашхъа,42.02914521,47.70256729
92,Мирсигьа,42.02111553,47.69763563
46,Силпи,42.01446272,47.72250349
173,Гъулди,42.07224648,47.68772369
166,Сургьей,42.07731403,47.71823806
200,Дяхъниса,42.08824483,47.72638731
470,Жирбичӏи,42.09187958,47.73641891
110,Биркли,42.08638115,47.76380567
345,Лехьа,42.07307123,47.73956182
85,Гурмиша,42.02385738,47.77611435
287,Ттурей,42.0354128,47.76506912
259,Кьулижа,42.05448063,47.77425226
291,Шилагьи,42.04870611,47.78912134
116,Жигай,42.06156978,47.7932396
202,Мижигъли,42.07044512,47.79973843
205,Хъонгей,42.09501924,47.80411943
171,Газай,42.09204729,47.81837944
872,Мажалис,42.1256569,47.83419776
611,Ягьмадша,42.12253988,47.80910913
606,Санчи,42.13407166,47.81681472
91,Бяртугьа,41.99245639,47.76693841
174,Ургагьа,41.98373548,47.76720298
123,Барша,41.98487324,47.78971936
138,Турагъа,41.96142179,47.80130193
87,Гьялинта,42.00047827,47.81927319
247,Бяжулей,42.04041545,47.80797002
104,Шиланша,41.97505731,47.78669203
44,Чидажа,41.96974735,47.79738632
423,Хъирхъи,41.97016176,47.81303397
45,Сургьавша,41.98343856,47.8284112
278,Варситӏ,41.99280948,47.82191482
49,Екьлугъа,41.99407709,47.82821353
63,Шурагъа,41.99251946,47.83915029
316,Гъирцӏикк,42.00138282,47.84044068
133,Янта,42.01814571,47.86346456
189,Пиляхъи,42.00545233,47.85525265
,Жалагъа,42.02176443,47.8199906
1070,Баршамяй,42.10771509,47.84875192
445,Кьярталай,42.08821031,47.8565535
725,Гъярацӏан,42.09256629,47.87199765
385,Ччинаби,42.07194162,47.8602018
116,Кьулега,42.07144595,47.88463212
131,Хядягъи,42.08059003,47.89719147
271,Машаттай,42.05388455,47.88168102
735,Чӏибягьни,42.06167867,47.910903
466,Жавгъатӏ,42.05476755,47.94193536
319,Рикьо,42.04646028,47.9200559
