home-1869,pop-1886,name,latitude,longitude
51,535,Ицӏари,41.99698475,47.58399895
30,313,Шяри,41.95703708,47.60871727
20,160,Чӏягьри,42.00702128,47.62307313
10,128,Синхъри,42.01223232,47.63769446
10,104,Гьинхъи,41.98875845,47.66474557
10,87,Циберкко,42.00204135,47.66674274
35,341,Тӏилми,42.01303178,47.67124201
10,91,Мисригъи,42.00966623,47.69565342
45,428,Адагъа,42.00856254,47.71135238
8,103,Уршигьа,42.01558442,47.70219272
50,279,Явдашхъа,42.02914521,47.70256729
8,92,Мирсигьа,42.02111553,47.69763563
3,46,Силпи,42.01446272,47.72250349
20,173,Гъулди,42.07224648,47.68772369
13,166,Сургьей,42.07731403,47.71823806
24,200,Дяхъниса,42.08824483,47.72638731
50,470,Жирбичӏи,42.09187958,47.73641891
6,110,Биркли,42.08638115,47.76380567
40,345,Лехьа,42.07307123,47.73956182
5,85,Гурмиша,42.02385738,47.77611435
30,287,Ттурей,42.0354128,47.76506912
35,259,Кьулижа,42.05448063,47.77425226
,291,Шилагьи,42.04870611,47.78912134
15,116,Жигай,42.06156978,47.7932396
19,202,Мижигъли,42.07044512,47.79973843
20,205,Хъонгей,42.09501924,47.80411943
13,171,Газай,42.09204729,47.81837944
10,91,Бяртугьа,41.99245639,47.76693841
30,174,Ургагьа,41.98373548,47.76720298
10,123,Барша,41.98487324,47.78971936
20,138,Турагъа,41.96142179,47.80130193
7,87,Гьялинта,42.00047827,47.81927319
20,247,Бяжулей,42.04041545,47.80797002
20,104,Шиланша,41.97505731,47.78669203
6,44,Чидажа,41.96974735,47.79738632
49,423,Хъирхъи,41.97016176,47.81303397
4,45,Сургьавша,41.98343856,47.8284112
40,278,Варситӏ,41.99280948,47.82191482
5,49,Екьлугъа,41.99407709,47.82821353
5,63,Шурагъа,41.99251946,47.83915029
35,316,Гъирцӏикк,42.00138282,47.84044068
15,133,Янта,42.01814571,47.86346456
23,189,Пиляхъи,42.00545233,47.85525265
90,1070,Баршамяй,42.10771509,47.84875192
45,445,Кьярталай,42.08821031,47.8565535
80,725,Гъярацӏан,42.09256629,47.87199765
35,385,Ччинаби,42.07194162,47.8602018
10,116,Кьулега,42.07144595,47.88463212
10,131,Хядягъи,42.08059003,47.89719147
30,271,Машаттай,42.05388455,47.88168102
95,735,Чӏибягьни,42.06167867,47.910903
40,466,Жавгъатӏ,42.05476755,47.94193536
40,319,Рикьо,42.04646028,47.9200559
